t_mono_s,v_bus,i,p
# start 2026-09-25T19:46:02 mono=606.1 interval=10.0 threshold=9.6 count=3
9196.5,11.664,-0.364,-4.25
9206.5,11.668,-0.342,-3.99
9216.5,11.668,-0.347,-4.04
9226.5,11.666,-0.345,-4.03
9236.5,11.665,-0.348,-4.06
9246.5,11.660,-0.365,-4.25
9256.5,11.664,-0.345,-4.02
9266.5,11.662,-0.347,-4.05
9276.5,11.661,-0.347,-4.04
9286.5,11.661,-0.345,-4.02
9296.5,11.656,-0.362,-4.22
9306.5,11.658,-0.347,-4.04
9316.5,11.658,-0.343,-4.00
9326.5,11.657,-0.344,-4.01
9336.5,11.655,-0.344,-4.01
9346.5,11.655,-0.346,-4.03
9356.5,11.655,-0.343,-3.99
9366.5,11.654,-0.345,-4.02
9376.5,11.652,-0.346,-4.03
9386.5,11.647,-0.363,-4.23
9396.5,11.652,-0.345,-4.01
9406.5,11.651,-0.346,-4.03
9416.5,11.648,-0.349,-4.07
9426.5,11.648,-0.346,-4.02
9436.5,11.647,-0.345,-4.01
9446.5,11.646,-0.351,-4.09
9456.5,11.646,-0.348,-4.05
9466.5,11.642,-0.362,-4.22
9476.5,11.644,-0.346,-4.02
9486.5,11.643,-0.346,-4.03
9496.5,11.642,-0.345,-4.02
9506.5,11.641,-0.348,-4.05
9516.5,11.640,-0.346,-4.03
9526.5,11.640,-0.351,-4.08
9536.5,11.639,-0.347,-4.04
9546.5,11.638,-0.347,-4.04
9556.5,11.637,-0.345,-4.01
9566.5,11.635,-0.347,-4.04
9576.5,11.631,-0.362,-4.21
9586.5,11.635,-0.344,-4.00
9596.5,11.633,-0.347,-4.03
9606.5,11.633,-0.346,-4.02
9616.5,11.632,-0.346,-4.02
9626.5,11.628,-0.361,-4.20
9636.5,11.622,-0.385,-4.47
9646.5,11.624,-0.363,-4.22
9656.5,11.619,-0.384,-4.46
9666.5,11.622,-0.363,-4.22
9676.5,11.619,-0.386,-4.48
9686.5,11.621,-0.365,-4.24
9696.5,11.619,-0.365,-4.24
9706.5,11.619,-0.368,-4.28
9716.5,11.616,-0.377,-4.37
9726.5,11.617,-0.366,-4.25
9736.5,11.616,-0.362,-4.21
9746.5,11.614,-0.365,-4.24
9756.5,11.614,-0.362,-4.20
9766.5,11.613,-0.365,-4.23
9776.5,11.613,-0.365,-4.24
9786.5,11.610,-0.372,-4.32
9796.5,11.607,-0.385,-4.47
9806.5,11.608,-0.366,-4.25
9816.5,11.608,-0.367,-4.25
9826.5,11.604,-0.384,-4.46
9836.5,11.607,-0.363,-4.21
9846.5,11.601,-0.390,-4.52
9856.5,11.602,-0.385,-4.47
9866.5,11.605,-0.362,-4.20
9876.5,11.604,-0.364,-4.23
9886.5,11.602,-0.365,-4.23
9896.5,11.601,-0.365,-4.24
9906.5,11.601,-0.364,-4.22
9916.5,11.600,-0.365,-4.23
9926.5,11.597,-0.368,-4.26
9936.5,11.598,-0.364,-4.22
9946.5,11.596,-0.366,-4.24
9956.5,11.596,-0.362,-4.20
9966.5,11.594,-0.366,-4.24
9976.5,11.595,-0.366,-4.24
9986.5,11.593,-0.363,-4.20
9996.5,11.589,-0.383,-4.43
10006.5,11.592,-0.366,-4.24
10016.5,11.587,-0.387,-4.48
10026.5,11.591,-0.366,-4.24
10036.5,11.589,-0.367,-4.25
10046.5,11.588,-0.368,-4.26
10056.5,11.587,-0.366,-4.24
10066.5,11.587,-0.363,-4.20
10076.5,11.586,-0.366,-4.25
10086.5,11.585,-0.365,-4.23
10096.5,11.585,-0.362,-4.20
10106.5,11.583,-0.368,-4.26
10116.5,11.582,-0.366,-4.24
10126.5,11.583,-0.363,-4.21
10136.5,11.577,-0.384,-4.45
10146.5,11.580,-0.369,-4.27
10156.5,11.579,-0.366,-4.24
10166.5,11.579,-0.366,-4.24
10176.5,11.578,-0.367,-4.25
10186.5,11.575,-0.378,-4.38
10196.5,11.574,-0.373,-4.32
10206.5,11.570,-0.384,-4.44
10216.5,11.569,-0.387,-4.47
10226.5,11.586,-0.299,-3.46
10236.5,11.577,-0.347,-4.02
10246.5,11.572,-0.366,-4.23
10256.5,11.575,-0.350,-4.05
10266.5,11.575,-0.348,-4.03
10276.5,11.573,-0.354,-4.10
10286.5,11.573,-0.353,-4.09
10296.5,11.572,-0.350,-4.05
10306.5,11.568,-0.368,-4.26
10316.5,11.571,-0.349,-4.04
10326.5,11.570,-0.349,-4.03
10336.5,11.569,-0.349,-4.04
10346.5,11.567,-0.346,-4.00
10356.5,11.567,-0.350,-4.04
10366.5,11.566,-0.351,-4.06
10376.5,11.566,-0.349,-4.03
10386.5,11.565,-0.346,-4.01
10396.5,11.560,-0.370,-4.27
10406.5,11.563,-0.349,-4.03
10416.5,11.563,-0.347,-4.01
10426.5,11.561,-0.348,-4.02
10436.5,11.561,-0.350,-4.04
10446.5,11.558,-0.355,-4.10
10456.5,11.560,-0.345,-3.99
10466.5,11.558,-0.348,-4.02
10476.5,11.557,-0.350,-4.04
10486.5,11.556,-0.348,-4.03
10496.5,11.552,-0.368,-4.26
10506.5,11.556,-0.350,-4.04
10516.5,11.552,-0.368,-4.25
10526.5,11.547,-0.388,-4.48
10536.5,11.551,-0.364,-4.20
10546.5,11.549,-0.372,-4.29
10556.5,11.544,-0.385,-4.45
10566.5,11.546,-0.367,-4.24
10576.5,11.547,-0.364,-4.21
10586.5,11.541,-0.389,-4.49
10596.5,11.545,-0.366,-4.23
10606.5,11.544,-0.366,-4.23
10616.5,11.543,-0.364,-4.21
10626.5,11.541,-0.366,-4.23
10636.5,11.541,-0.367,-4.23
10646.5,11.536,-0.389,-4.48
10656.5,11.539,-0.366,-4.23
10666.5,11.537,-0.368,-4.25
10676.5,11.537,-0.366,-4.22
10686.5,11.537,-0.367,-4.23
10696.5,11.536,-0.367,-4.23
10706.5,11.536,-0.366,-4.22
10716.5,11.534,-0.365,-4.21
10726.5,11.534,-0.364,-4.20
10736.5,11.533,-0.368,-4.25
10746.5,11.532,-0.366,-4.23
10756.5,11.531,-0.368,-4.24
10766.5,11.530,-0.369,-4.26
10776.5,11.527,-0.379,-4.37
10786.5,11.528,-0.366,-4.22
10796.5,11.528,-0.370,-4.26
10806.5,11.524,-0.381,-4.39
10816.5,11.527,-0.365,-4.21
10826.5,11.524,-0.369,-4.25
10836.5,11.520,-0.385,-4.44
10846.5,11.523,-0.369,-4.25
10856.5,11.522,-0.366,-4.22
10866.5,11.517,-0.387,-4.46
10876.5,11.521,-0.367,-4.23
10886.5,11.520,-0.365,-4.21
10896.5,11.518,-0.372,-4.28
10906.5,11.519,-0.368,-4.23
10916.5,11.516,-0.368,-4.24
10926.5,11.516,-0.368,-4.24
10936.5,11.516,-0.366,-4.21
10946.5,11.515,-0.370,-4.26
10956.5,11.514,-0.369,-4.25
10966.5,11.513,-0.365,-4.20
10976.5,11.513,-0.367,-4.23
10986.5,11.511,-0.366,-4.22
10996.5,11.511,-0.366,-4.21
11006.5,11.511,-0.367,-4.22
11016.5,11.506,-0.386,-4.44
11026.5,11.504,-0.389,-4.47
11036.5,11.508,-0.367,-4.22
11046.5,11.507,-0.366,-4.21
11056.5,11.506,-0.366,-4.21
11066.5,11.505,-0.371,-4.27
11076.5,11.505,-0.365,-4.20
11086.5,11.504,-0.368,-4.24
11096.5,11.502,-0.369,-4.24
11106.5,11.502,-0.366,-4.20
11116.5,11.503,-0.363,-4.18
11126.5,11.505,-0.348,-4.01
11136.5,11.504,-0.353,-4.06
11146.5,11.500,-0.371,-4.26
11156.5,11.502,-0.352,-4.05
11166.5,11.503,-0.349,-4.01
11176.5,11.497,-0.371,-4.27
11186.5,11.501,-0.347,-3.99
11196.5,11.500,-0.351,-4.04
11206.5,11.498,-0.359,-4.13
11216.5,11.493,-0.369,-4.24
11226.5,11.497,-0.350,-4.02
11236.5,11.496,-0.349,-4.01
11246.5,11.494,-0.351,-4.03
11256.5,11.495,-0.349,-4.01
11266.5,11.495,-0.349,-4.01
11276.5,11.493,-0.350,-4.03
11286.5,11.493,-0.350,-4.02
11296.5,11.492,-0.351,-4.03
11306.5,11.492,-0.349,-4.01
